iter	Accuracy	Logloss
0	0.903125	0.5986608507
1	0.91	0.5160902284
2	0.91	0.4598395923
3	0.91	0.3958935941
4	0.910625	0.3622123283
5	0.91125	0.3286730038
6	0.913125	0.3063226797
7	0.913125	0.2837554811
8	0.91375	0.2688624693
9	0.914375	0.2529285225
10	0.91625	0.242229194
11	0.918125	0.2318432101
12	0.915	0.2229636461
13	0.916875	0.218396415
14	0.92	0.2120670872
15	0.923125	0.2054014407
16	0.924375	0.2032731105
17	0.925	0.1987282254
18	0.926875	0.1969262986
19	0.9275	0.193343945
20	0.9275	0.1904518434
21	0.9275	0.1880230102
22	0.926875	0.1837000489
23	0.9275	0.1816073831
24	0.929375	0.1786063567
25	0.93	0.1768318113
26	0.931875	0.1725501057
27	0.930625	0.170313304
28	0.93375	0.1676394284
29	0.935	0.1654655823
